title,genres,description
Crossout,"Action, Adventure, Massively Multiplayer, Racing, Free To Play","Just Updated Something brand new is coming to Crossout! Now every survivor can start their path through the Wasteland once again in a down-to-earth post-apocalyptic setting with its own rules, features, and accelerated progression. Also in this update: a new April 1 brawl, a new relic crossbow, balance changes, an interface update, and a few other surprises! Find out more on the official Crossout website! Update Notes How to link your Steam and Gaijin accounts If you previously played Crossout or have a Gaijin account, we recommend that you link your Steam and Gaijin accounts when you first start the game through Steam.If this is not done when you first start the game from Steam, then in the future you will not be able to link your accounts. We encourage you to sign up for a Gaijin account if you don't have one. This will allow you to continue to use all the additional features of the game. Here is a brief guide on how to link your Steam and Gaijin accounts Once you've launched the game, you will see these fields on your screen. To link the accounts, enter your Gaijin account data (e-mail and password), click ""Log in"" and confirm that you want to link your accounts. If you haven't got a Gaijin account or if you choose not to link accounts, you can log into the game through the ""Sign in with Steam ID"" button. But you will no longer be able to link your accounts in the future. Attention! If you failed to link accounts by mistake and entered the game only through Steam, but still want your accounts to be linked, we recommend that you do not make any in-game actions, especially in the market, and contact support. We will try to help you. If you previously played ‘War Thunder’, then most likely your accounts are already linked. You can learn more about linking accounts at the Technical Support website. Please, pay attention that there are 2 guides available: How to link your Steam account to your email address (In case you've been playing using the game launcher) How to link your Gaijin-account to your Steam-account (in case you've been playing the game using Steam) About the Game Crossout — is a postapocalyptic MMO action game where you can create a unique design for an armoured vehicle from dozens of parts and then drive it into multiplayer battles raging on land and in the skies alike. Key Features: Unique vehicles, crafted by the players using a wide range of available parts: from maneuverable buggies and armoured aircraft flying high in the sky to heavy rovers on tracks and antigravitational battle platforms. Complete freedom of creativity and millions of possible combinations: create vehicles of any shape using dozens of parts, wide variety of armour and weapons as well as support systems. Advanced damage model: destroy any part of an enemy machine and it will affect the vehicle's performance immediately. Huge arsenal of weapons: from chainsaws, drills and machine guns to missile launchers, drones and invisibility modules. Your own workshop: create new parts and auction them at the in-game marketplace. Trading options between players: almost every piece that you have gathered in the battle can be sold to other players. Choose your own battle strategy: you can play by yourself or find a clan, participate in battles and tournaments. The only thing that matters is the Survival and Victory! CROSSOUT - The Road to Apocalypse In 2027, a mysterious disease outbreak swept over the entire planet. Some died instantly, while others experienced hallucinations and unbearable pain. The source of the disease, which journalists dubbed ""Crossout"", and the mechanism of its development could not be determined. Within a few months, humanity was nearly wiped out. Only small groups of people were spared by Crossout, but it forced them to fight for survival in the desolate Wasteland. The survivors began to gradually change, and after about fifteen years, these changes affected their appearance as well. But the core qualities of people remained unchanged: peace among them was impossible. The armoured vehicles, originally built for survival, became increasingly armed. People formed factions, each with their own unique knowledge, technologies and perspectives. Some of them strive to rebuild the old world, but for others the world is synonymous with chaos and destruction. But this fragile balance was shaken when the survivors encountered mysterious robots known as the Ravagers, which can erase memories."
Assassin's Creed® Odyssey,"Action, Adventure, RPG","Comparative Grid Ultimate Edition The Ultimate Edition includes: - The base game - Season Pass: 2 expansions, 1 mission, Assassin's Creed III and Liberation Remastered - Deluxe Pack: 2 gear packs, 1 naval pack, and temporary boosts In this action-adventure game, set sail for Ancient Greece to alter its fate. Fight in visceral battles on land and sea, shape your destiny from outcast to legend, and uncover secrets of your past. FIGHT AS A SPARTAN WARRIOR Forge your own odyssey in a world on the brink of chaos and become a legendary Spartan hero, fighting mythical creatures along the way. Charge into epic clashes between Sparta and Athens, with battles pitting 150v150 soldiers against each other. TRAVEL TO ANCIENT GREECE Make your way through wild landscapes, vibrant cities, and iconic historical sites. Sail across shimmering seas, climb towering mountains, and discover the heart of a civilization. CHOOSE YOUR PATH Your choices shape the world around you. Play in a living world that constantly reacts to your every decision: forge alliances, spark conflicts, and determine the fate of characters. Customize your gear, ship, and special abilities to become a legend. Gold Edition The Gold Edition includes the base game and the Season Pass: - Legacy of the First Blade expansion - The Fate of Atlantis expansion - Secrets of Greece bonus mission - Assassin's Creed III Remastered - Assassin's Creed Liberation Remastered Deluxe Edition The Deluxe Edition includes the base game and the Deluxe Pack: - Kronos Pack: 5 epic pieces of armor, 1 epic weapon, 1 epic mount - Herald of Dusk Pack: 5 rare pieces of armor, 1 rare weapon - Capricornus Naval Pack: 1 ship design, 1 crew theme - Temporary XP Boost - Temporary Drachmas Boost In this action-adventure game, set sail for Ancient Greece to alter its fate. Fight in visceral battles on land and sea, shape your destiny from outcast to legend, and uncover secrets of your past. FIGHT AS A SPARTAN WARRIOR Forge your own odyssey in a world on the brink of chaos and become a legendary Spartan hero, fighting mythical creatures along the way. Charge into epic clashes between Sparta and Athens, with battles pitting 150v150 soldiers against each other. TRAVEL TO ANCIENT GREECE Make your way through wild landscapes, vibrant cities, and iconic historical sites. Sail across shimmering seas, climb towering mountains, and discover the heart of a civilization. CHOOSE YOUR PATH Your choices shape the world around you. Play in a living world that constantly reacts to your every decision: forge alliances, spark conflicts, and determine the fate of characters. Customize your gear, ship, and special abilities to become a legend. About the Game FIGHT AS A SPARTAN WARRIOR Forge your own odyssey in a world on the brink of chaos and become a legendary Spartan hero, fighting mythical creatures along the way. Charge into epic clashes between Sparta and Athens, with battles pitting 150v150 soldiers against each other. TRAVEL TO ANCIENT GREECE Make your way through wild landscapes, vibrant cities, and iconic historical sites. Sail across shimmering seas, climb towering mountains, and discover the heart of a civilization. CHOOSE YOUR PATH Your choices shape the world around you. Play in a living world that constantly reacts to your every decision: forge alliances, spark conflicts, and determine the fate of characters. Customize your gear, ship, and special abilities to become a legend."
Poppy Playtime,"Action, Adventure, Indie","Disclaimer: Purchase of this base game includes the first chapter. Further chapters are DLC. You must stay alive in this horror/puzzle adventure. Try to survive the vengeful toys waiting for you in the abandoned toy factory. Use your GrabPack to hack electrical circuits or nab anything from afar. Explore the mysterious facility... and don't get caught. Welcome to Playtime Co.! Playtime Co. was once the king of the toy manufacturing industry... until everybody inside of the factory one day disappeared into thin air. Now, years later, you must explore the abandoned factory and uncover the truth. The Toys The toys of Playtime Co. are a lively bunch! From Bot to Huggy, Catbee to Poppy, Playtime does it all! As long as you're at Playtime Co., why not pay the toys a little visit? You might just make a few friends... The GrabPack This amazing GrabPack is a wearable backpack, accompanied by 2 artificial hands attached via steel wire. With this handy, state-of-the-art tool, there's no limit to what Playtime Co. employees can accomplish! The following list of features should help to show you what the GrabPack has to offer. The hands' powerful grip allows for movement of heavy objects with ease! A lengthy and flexible wire gives any employee the ability to reach whatever they may need, no matter the distance! The steel wire makes conducting electricity a breeze! The only limit is the length of your GrabPack's wire. Won't you stick around? There's lots of fun in store for you. It's almost Playtime..."
Split Fiction,"Action, Adventure","CRITICALLY ACCLAIMED About the Game Embrace mind-blowing moments as you’re pulled deep into the many worlds of Split Fiction, a boundary-pushing co-op action adventure from the studio behind 2021 Game of the Year Winner, It Takes Two. Mio and Zoe are contrasting writers – one writes sci-fi and the other writes fantasy – who become trapped in their own stories after being hooked up to a machine designed to steal their creative ideas. They’ll have to rely on each other to break free with their memories in-tact, working together to master a variety of abilities and overcome diverse challenges while jumping between sci-fi and fantasy worlds in this unexpected tale of friendship. Split Fiction is a unique action-adventure experience that keeps you on the edge of your couch with unexpected moments. One minute you’re taming adorable dragons and the next you’re fighting as cyber ninjas, escaping terrifying trolls, or dodging hover cars thrown by a robotic parking attendant. It’s weird, it’s wild, and it’s designed to be shared. Grab your co-op partner and get ready to overcome any obstacle thrown your way."
Divide By Sheep,"Adventure, Casual, Indie","Divide By Sheep is a math puzzler about the Grim Reaper's devious plan to make some sheepy friends. Grim can only befriend the dead, so he decided to unleash a great flood and drag the sheep under. Now stranded on small islands and sinking fast, the sheep need you to help them reach safety. You save the little animals by solving clever math puzzles. Divide By Sheep is a game of addition and subtraction by any means possible, where puzzles start off fairly easy and playful, yet quickly escalate in both difficulty and dark humor. The mighty features: 120 mind bending puzzles spread across 4 worlds Dark humor inbound, parental guidance advised! What happens when you divide a whole into half? You get two halves! Lasers, wolves... oh, and also a kraken (The Grim Reaper's pet) Drown sheep. Or wolves. Or pigs. Do whatever it takes to succeed Fabulous art-work that quickly goes from cute to disturbing USE PARENTAL CONTROLS BEFORE GIVING THE GAME TO KIDS! Main menu has the option to disable blood."
Starbound,"Action, Adventure, Casual, Indie, RPG","Bounty Hunter Update In our latest update take on the role of an intergalactic bounty hunter, taking on new quests to track down wanted criminal gangs and following clues to discover their hideouts. Rise up through the Peacekeeper ranks to ultimately restore law and order in the universe! When cornered some criminals may even offer treasure or rewards as a bribe - it’s up to the player to decide how strictly they’ll uphold the law! There are over 50 new ‘rare colored’ variant monsters which can be captured, and a variety of other new content including furniture, armor, tenants and more! Update Key Features New procedurally-generated quests that send players travelling to worlds and space stations, hunting down criminal gangs New Peacekeeper stations for bounty hunters – work your way through promotions and restore law to the universe Take the fight to criminal gangs at their hideouts, including a climatic final mission & boss fight! Brand new quests and cutscenes! New generated criminal hideout micro-dungeons New elemental monster variants which are capturable, and earn progress in a new collection New furniture, objects, costumes, weapons, and more! 4 new music tracks by Starbound composer Curtis Schweitzer And of course some bugfixes About the Game In Starbound, you create your own story - there’s no wrong way to play! You may choose to save the universe from the forces that destroyed your home, uncovering greater galactic mysteries in the process, or you may wish to forego a heroic journey entirely in favor of colonizing uncharted planets. Settle down and farm the land, become an intergalactic landlord, hop from planet to planet collecting rare creatures, or delve into dangerous dungeons and lay claim to extraordinary treasures. Discover ancient temples and modern metropolises, trees with eyes, and mischievous penguins. Make use of hundreds of materials and over two thousand objects to build a sleepy secluded cabin in the woods, a medieval castle, underwater arcade, or even a space station. Starbound has been built from the ground up to be multiplayer and easily moddable. You have the tools to make the universe your own and modify the game to suit your play style - add new items, races, planet types, dungeons, and quests - the possibilities are limitless. Choose from one of 7 playable races and customize your character Save the universe in an epic story campaign featuring colorful characters, bosses, dungeons, and quests! You're the captain of your very own starship! Decorate it, expand it, and use it to explore a procedurally generated universe Colonize uncharted planets and collect gifts from your tenants - if they like you, they may even ask to join your ship crew! Three game modes - Casual (no need to eat), Survival (eat to survive/drop items on death) and Hardcore (permadeath) Craft thousands of objects - building materials, armor, weapons, furniture and more Capture unique monsters to fight alongside you All content is available in online drop-in/drop-out co-op Built from the ground up to be easily moddable. You have the tools to make the universe however you'd like it"
Just Cause 2,"Action, Adventure","JUST CAUSE 4 About the Game Dive into an adrenaline-fuelled free-roaming adventure. As agent Rico Rodriguez, your orders are to find and kill your friend and mentor who has disappeared on the island paradise of Panau. There, you must cause maximum chaos by land, sea and air to shift the balance of power. With the unique grapple and parachute combo, BASE jump, hijack and create your own high-speed stunts. With 400 square miles of rugged terrain and hundreds of weapons and vehicles, Just Cause 2 defies gravity and belief. UNIQUE VERTICAL GAMEPLAY - Take to the air like no other game. Experience total aerial freedom with the unique parachute and dual grapple UNBELIEVABLE ADRENALINE-FUELLED STUNTS - Free fall, base jump, vehicle surf, para sail, skydive, grapple, slingshot, leap between vehicles, hang from helicopters, scale buildings. The impossible is within your grasp. UPGRADED DUAL GRAPPLE - Your best tool is now a weapon. Fire two shots with the grapple hook and attach unwilling enemies to high-speed vehicles, hang them upside down from buildings, tether objects in mid air. The possibilities are as vast as your imagination. DISCOVER THE SECRETS OF PANAU - Explore the island paradise; from sprawling cities, secluded beaches and towering mountain peaks – more than 400 square miles of your own personal playground. EXPERIENCE TRUE FREEDOM - Hundreds of objectives can be completed in any way or order that you choose. When it’s time for a break from Agency business, kick back and enjoy all the attractions that Panau has to offer. MASSIVE SELECTION OF VEHICLES - Catch air on a high-speed dirt bike, race across the sea in a power boat, or fire a spread of rockets from an attack chopper – more than 100 land, sea and air vehicles are yours for the taking."
Need for Speed™ Heat,"Action, Adventure, Racing, Sports","A thrilling race experience pits you against a city’s rogue police force as you battle your way into street racing’s elite. Hustle by day and risk it all at night in Need for Speed™ Heat, a white-knuckle street racer, where the lines of the law fade as the sun starts to set. By day, Palm City hosts the Speedhunter Showdown, a sanctioned competition where you earn Bank to customize and upgrade your high-performance cars. At night, ramp up the intensity in illicit street races that build your reputation, getting you access to bigger races and better parts. But stay ready – cops are waiting and not all of them play fair. The Deluxe Edition comes with: K.S Edition Mitsubishi Lancer Evolution X Starter Car, available at start in player garage 3 additional K.S Edition cars unlocked through progression 4 exclusive character outfits — swappable and fit both male and female avatars REP rewards increased by 5% BANK rewards increased by 5% Need for Speed Heat is Crossplay enabled."
The Descendant,"Adventure, Casual, Indie","WISHLIST NOW About the Game THE DESCENDANT is a five part episodic adventure game series where the end of the world is only the start. After climate change wrecked the planet, a man-made extinction event wiped humankind off the face of the Earth. Only a few thousand ‘descendants of humanity’ were hand-picked to survive the apocalypse, cryogenically suspended in underground bunkers known as Arks. Centuries passed. The world recovered from the nuclear holocaust, and all the Arks reopened, except one — Ark-01. Taking place across two timelines, in the past you'll play as Mia, a janitor tasked with keeping the precious descendants housed within Ark-01 alive while the facility continually fails around her, and in the present, you'll play as Donnie, one of the investigators trying to rescue any surviving descendants trapped within, all while discovering a far greater conspiracy buried within the underground Ark complex. Every action and choice you make directly impacts who lives and who dies, leaving the fate of Ark-01, and mankind itself, in your hands. Will you save mankind? Or doom us all? Key features An episodic adventure spreading across multiple story-rich timelines Investigative gameplay, challenging puzzles, tense action sequences Meaningful and difficult choices with branching dialogue A tailored experience, full of tension and drama Every player choice can influence the future of mankind"
Amnesia: The Dark Descent,"Action, Adventure, Indie","The last remaining memories fade away into darkness. Your mind is a mess and only a feeling of being hunted remains. You must escape. Awake... Amnesia: The Dark Descent, a first person survival horror. A game about immersion, discovery and living through a nightmare. An experience that will chill you to the core. You stumble through the narrow corridors as the distant cry is heard. It is getting closer. Explore... Amnesia: The Dark Descent puts you in the shoes of Daniel as he wakes up in a desolate castle, barely remembering anything about his past. Exploring the eerie pathways, you must also take part of Daniel's troubled memories. The horror does not only come from the outside, but from the inside as well. A disturbing odyssey into the dark corners of the human mind awaits. A sound of dragging feet? Or is your mind playing tricks on you? Experience... By using a fully physically simulated world, cutting edge 3D graphics and a dynamic sound system, the game pulls no punches when trying to immerse you. Once the game starts, you will be in control from the beginning to the end. There are no cut-scenes or time-jumps, whatever happens will happen to you first hand. Something emerges out of the darkness. It's approaching. Fast. Survive... Amnesia: The Dark Descent throws you headfirst into a dangerous world where danger can lurk behind every corner. Your only means of defense are hiding, running or using your wits. Do you have what it takes to survive?"
DISTRAINT: Deluxe Edition,"Adventure, Casual, Indie","DISTRAINT is a 2D psychological horror adventure game for PC . You step into the shoes of an ambitious young man named Price. In order to secure a partnership in a famous company, Price seizes the property of an elderly woman. In that very moment, he finds out the price of his humanity. This is his story and the tale of his regrets... ""We have yet to see you DANCE, son!"" _______________________________________________________ DISTRAINT is a horror-novel style of game. It is dark and grim but also has its share of dark humor. The story progresses quickly which allows for several settings and scenarios. Your journey will last around two hours! The gameplay is simple but effective: You move left and right and solve puzzles to progress through the atmospheric story. Side scrolling 2D with unique, hand drawn graphics Atmospheric music and sound design Minimalist interface so your focus never wavers from the experience Delve into a unique story full of intriguing twists One man effort - No asset flips or cheap tricks, just hard work! ""Snow... no wonder these folks are so absent."" _______________________________________________________ DISTRAINT has been doing quite well thanks to the awesome community! Deluxe Edition is my thanks to you. Take a look at what's new: Dynamic coloring - Goodbye gray, hello color! No more lantern - Increased environmental lighting Enhanced animation, graphics, and lighting effects Refined audio for better atmosphere Improved user interface ""These people are treated like cattle..."" _______________________________________________________"
Enter the Gungeon,"Action, Adventure, Indie","Enter the Gungeon is a bullet hell dungeon crawler following a band of misfits seeking to shoot, loot, dodge roll and table-flip their way to personal absolution by reaching the legendary Gungeon’s ultimate treasure: the gun that can kill the past. Select a hero [or team up in co-op] and battle your way to the bottom of the Gungeon by surviving a challenging and evolving series of floors filled with the dangerously adorable Gundead and fearsome Gungeon bosses armed to the teeth. Gather precious loot, discover hidden secrets, and chat with opportunistic merchants and shopkeepers to purchase powerful items to gain an edge. The Gungeon: Enter the Gungeon – a constantly evolving bullet hell fortress that elegantly blends meticulously hand-designed rooms within a procedurally-generated labyrinth bent on destroying all that enter its walls. But beware – the Gungeon responds to even the most modest victory against its sentries and traps by raising the stakes and the challenges found within! The Cult of the Gundead: The Gungeon isn’t just traps and chasms – calm your nerves and steady your aim as you face down the gun-totting Cult of the Gundead. These disciples of the gun will stop at nothing to put down the heroes in their tracks and employ any tactics necessary to defend their temple. The Gungeoneers: Choose between one of several unlikely heroes, each burdened by a deep regret and in search of a way to change their past, no matter the cost. Filled with equal parts courage and desperation, these adventurers won’t hesitate to dive across flaming walls, roll through a wall of bullets, or take cover behind whatever is around to make it to their goal alive! The Guns: Discover and unlock scores of uniquely fantastic guns to annihilate all that oppose you in the Gungeon – each carrying their own unique tactics and ammunition. Unleash everything from the tried and true medley of missiles, lasers, and cannonballs to the bizarrely effective volley of rainbows, fish, foam darts, and bees! Yep, bees. The Enter the Gungeon: Collector's Edition includes the game, the soundtrack, the digital comic, and an instant unlock of the Microtransaction Gun. Owners of the base game can upgrade to the Collector's Edition for the difference in price."
Crosshair X,"Action, Adventure, Indie, Software Training, Utilities","Dominate Every Match with the Perfect Crosshair Crosshair X gives you a decisive competitive edge in every FPS, tactical shooter, and battle royale you play. Whether you're grinding ranked matches, clutching intense rounds, or pushing squads in open-world combat — your crosshair should never hold you back. Trusted by millions of players and rated Very Positive with over 40,000 reviews, Crosshair X is the most popular crosshair overlay on Steam. Why Competitive Players Choose Crosshair X Thousands of Community Designs: Browse an ever-growing library of reticles shared by the Crosshair X community — including pro player replicas and tournament-ready setups Precision Designer: Build your ideal crosshair from scratch with intuitive sliders for every parameter — lines, dot, outlines, color, opacity, and more Works in Every Game: Overlay your crosshair on any title — first-person shooters, third-person shooters, battle royales, and tactical shooters alike Game Bar Integration: The safest overlay method on PC — powered by Microsoft's trusted Game Bar platform for seamless exclusive fullscreen compatibility Multi-Monitor Support: Display your crosshair on any monitor and save custom positions for each game Share & Export: Share your creations with friends or save them as .PNG/.SVG files Smart Toggle: Show or hide your crosshair with configurable mouse states and keyboard shortcuts Workshop Powered: Discover, share, and download crosshairs via Steam Workshop Full Customization Control Lines: Opacity, Length, Width, Offset, Color, Blur, Rotation Center Dot: Opacity, Size, Color, Blur Outlines: Opacity, Thickness, Color, Blur T-Shape: Remove the top arm — never, always, or only when firing Bloom: Dynamic crosshair spread during firing Position: Fine-tune X and Y coordinates for pixel-perfect placement Your Aim, Your Rules Stop settling for default crosshairs that disappear against bright backgrounds or blend into dark corners. Crosshair X puts you in complete control of your reticle — so you can focus on what matters: hitting your shots."
STAR WARS Jedi: Fallen Order™,"Action, Adventure","STAR WARS JEDI: FALLEN ORDER DELUXE EDITION Get the story behind the game with the Star Wars Jedi: Fallen Order Deluxe Edition, including: Cosmetic skin for BD-1 Cosmetic skin for the Stinger Mantis Digital art book ""Director's Cut"" behind-the-scenes videos, featuring over 90 minutes of footage from the making of the game About the Game A galaxy-spanning adventure awaits in Star Wars Jedi: Fallen Order , a new third-person action-adventure title from Respawn Entertainment. This narratively driven, single-player game puts you in the role of a Jedi Padawan who narrowly escaped the purge of Order 66 following the events of Episode 3: Revenge of the Sith. On a quest to rebuild the Jedi Order, you must pick up the pieces of your shattered past to complete your training, develop new powerful Force abilities and master the art of the iconic lightsaber - all while staying one step ahead of the Empire and its deadly Inquisitors. While mastering your abilities, players will engage in cinematically charged lightsaber and Force combat designed to deliver the kind of intense Star Wars lightsaber battles as seen in the films. Players will need to approach enemies strategically, sizing up strengths and weaknesses while cleverly utilizing your Jedi training to overcome your opponents and solve the mysteries that lay in your path. Star Wars fans will recognize iconic locations, weapons, gear and enemies while also meeting a roster of fresh characters, locations, creatures, droids and adversaries new to Star Wars. As part of this authentic Star Wars story, fans will delve into a galaxy recently seized by the Empire. As a Jedi hero-turned-fugitive, players will need to fight for survival while exploring the mysteries of a long-extinct civilization all in an effort to rebuild the remnants of the Jedi Order as the Empire seeks to erase the Jedi completely. KEY FEATURES Cinematic, Immersive Combat – Jedi: Fallen Order delivers the fantasy of becoming a Jedi through its innovative lightsaber combat system–striking, parrying, dodging–partnered with a suite of powerful Force abilities you’ll need to leverage to overcome obstacles that stand in your way. This combat system is intuitive but takes training and practice to fully master its nuances as you gain new powers and abilities along your adventure. A New Jedi Story Begins - As a former Padawan on the run from the Empire, you must complete your training before Imperial Inquisitors discover your plan to revive the Jedi Order. Aided by a former Jedi Knight, a cantankerous pilot and a fearless droid, you must escape the evil machinations of the Empire in a story-driven adventure. Explore and overcome a wide range of challenges focused on combat, exploration and puzzle-solving. The Galaxy Awaits - Ancient forests, windswept rock faces and haunted jungles are all unique biomes you’ll explore in Jedi: Fallen Order, with the freedom to decide when and where you go next. As you unlock new powers and abilities, opportunities open up to re-traverse maps in new ways; leveraging the Force to augment the way you explore. Move quickly, however, as the Empire is actively hunting your every step in their effort to exterminate all remnants of the Jedi Order."
INSIDE,"Action, Adventure, Indie","Hunted and alone, a boy finds himself drawn into the center of a dark project. Try Playdead’s award-winning indie adventure game. INSIDE is a dark, narrative-driven platformer combining intense action with challenging puzzles. It has been critically acclaimed for its moody art style, ambient soundtrack and unsettling atmosphere."
The Lord of the Rings Online™,"Action, Adventure, Massively Multiplayer, RPG, Free To Play","In The Lord of the Rings Online™ , join the world’s greatest fellowship of players in the faithful online re-creation of J. R. R. Tolkien’s legendary Middle-earth. From the crumbling, shadowed ruins of Weathertop to the ageless, golden wood of Lothlórien, immerse yourself in Middle-earth as you have never seen it before. Visit the peaceful, verdant fields of the Shire, brave the dark depths of the Mines of Moria, and raise a pint at the Prancing Pony in Bree! Key Features: Explore the Massive World of Middle-earth: Immerse yourself in the award-winning recreation of the beloved fantasy world of J.R.R. Tolkien through renowned locations including the Shire, the Mines of Moria, and Lothlórien. Create & Advance Your Hero: Advance to the highest levels with boundless character customization possibilities. Choose from a vast array of races, classes, and professions, plus earn countless titles, skills, and traits, direct from the stories of Middle-earth. Solo & Co-op Skirmishes: Dive into instant adventure alongside friends or customizable AI soldiers in exciting, scalable battles! Legendary Items: Design and customize your own legendary weapons of immense power like Bilbo’s Sting or Gandalf’s Glamdring! Play as a Monster: Fight as a servant of Sauron against other players in intense PvMP Combat! Craft Your Own Gear: Farm crops in the fertile fields of the Shire or let your hammer ring in the Dwarven halls Ered Luin. Free Online Play: No monthly fees required."
Detroit: Become Human,"Action, Adventure","Detroit: Become Human , the award-winning video game production from Quantic Dream , is finally available on Steam! Featuring world-renowned actors including Jesse Williams (Grey’s Anatomy), Clancy Brown (Carnivale), Lance Henriksen (Aliens), Bryan Dechart (True Blood) and Valorie Curry (Twilight). WHAT MAKES US HUMAN? Detroit 2038. Technology has evolved to a point where human like androids are everywhere. They speak, move and behave like human beings, but they are only machines serving humans. Play three distinct androids and see a world at the brink of chaos – perhaps our future - through their eyes. Your very decisions will dramatically alter how the game’s intense, branching narrative plays out. You will face moral dilemmas and decide who lives or dies. With thousands of choices and dozens of possible endings, how will you affect the future of Detroit and humanity’s destiny? PLAY YOUR PART IN A GRIPPING NARRATIVE Enter a world where moral dilemmas and difficult decisions can turn android slaves into world-changing revolutionaries. Discover what it means to be human from the perspective of an outsider – and see the world through the eyes of a machine. THEIR LIVES, YOUR CHOICES Shape an ambitious branching narrative, where your decisions not only determine the fate of the three main characters, but that of the entire city of Detroit. How you control Kara, Connor and Markus can mean life or death – and if one of them pays the ultimate price, the story still continues… COUNTLESS PATHS, COUNTLESS ENDINGS Every decision you make, no matter how minute, affects the outcome of the story. No playthrough will be exactly the same: replay again and again to discover a totally different conclusion. FULLY OPTIMIZED FOR PC Detroit: Become Human is brought to PC with stunning graphics, 4K resolution, 60 fps framerate and full integration of both mouse/keyboard and gamepad controls for the most complete Detroit: Become Human experience to date."
Marvel’s Spider-Man Remastered,"Action, Adventure, Casual","Steam Exclusive Offer Link your Steam Account to PlayStation™ Network to receive these early unlock bonuses: Early access to the Resilient Suit Early access to the powerful Concussive Blast Gadget Two Skill Points Link portal can be found on the Marvel’s Spider-Man Remastered game menu. About the Game Developed by Insomniac Games in collaboration with Marvel, and optimized for PC by Nixxes Software, Marvel's Spider-Man Remastered on PC introduces an experienced Peter Parker who’s fighting big crime and iconic villains in Marvel’s New York. At the same time, he’s struggling to balance his chaotic personal life and career while the fate of Marvel’s New York rests upon his shoulders. Key Features Be Greater When iconic Marvel villains threaten Marvel’s New York, Peter Parker and Spider-Man’s worlds collide. To save the city and those he loves, he must rise up and be greater. Feel like Spider-Man After eight years behind the mask, Peter Parker is a crime-fighting master. Feel the full power of a more experienced Spider-Man with improvisational combat, dynamic acrobatics, fluid urban traversal and environmental interactions. Worlds collide The worlds of Peter Parker and Spider-Man collide in an original action-packed story. In this new Spider-Man universe, iconic characters from Peter and Spider-Man’s lives have been reimagined, placing familiar characters in unique roles. Marvel’s New York is your playground The Big Apple comes to life in Marvel’s Spider-Man. Swing through vibrant neighborhoods and catch breathtaking views of iconic Marvel and Manhattan landmarks. Use the environment to defeat villains with epic takedowns in true blockbuster action. Enjoy The City That Never Sleeps complete content Following the events of the main story of Marvel’s Spider-Man Remastered, experience the continuation of Peter Parker’s journey in Marvel’s Spider-Man: The City That Never Sleeps, three story chapters with additional missions and challenges to discover. PC Features PC Optimized Graphics Enjoy a variety of graphics quality options to tailor to a wide range of devices, unlocked framerates, and support for other technologies including performance boosting NVIDIA DLSS and image quality enhancing NVIDIA DLAA. Upscaling technology AMD FSR 2.0 is also supported. Ray-traced reflections and improved shadows* See the city come to life with improved shadows and stunning ray-traced reflection options with a variety of quality modes to choose from. Ultra-wide Monitor support** Take in the cinematic sights of Marvel’s New York with support for a range of screen setups, including 16:9, 16:10, 21:9, 32:9, and 48:9 resolutions with triple monitor setups using NVIDIA Surround or AMD Eyefinity. Controls and Customization Feel what it’s like to play as Spider-Man through immersive haptic feedback and dynamic trigger effects using a PlayStation DualSense™ controller on a wired USB connection. Enjoy full mouse and keyboard support with various customizable control options. *Compatible PC required **Compatible PC and display device required."
Dishonored,"Action, Adventure","Dishonored is an immersive first-person action game that casts you as a supernatural assassin driven by revenge. With Dishonored’s flexible combat system, creatively eliminate your targets as you combine the supernatural abilities, weapons and unusual gadgets at your disposal. Pursue your enemies under the cover of darkness or ruthlessly attack them head on with weapons drawn. The outcome of each mission plays out based on the choices you make. Story: Dishonored is set in Dunwall, an industrial whaling city where strange steampunk- inspired technology and otherworldly forces coexist in the shadows. You are the once-trusted bodyguard of the beloved Empress. Framed for her murder, you become an infamous assassin, known only by the disturbing mask that has become your calling card. In a time of uncertainty, when the city is besieged by plague and ruled by a corrupt government armed with industrial technologies, dark forces conspire to bestow upon you abilities beyond those of any common man – but at what cost? The truth behind your betrayal is as murky as the waters surrounding the city, and the life you once had is gone forever. Key features: Improvise and Innovate Approach each assassination with your own style of play. Use shadow and sound to your advantage to make your way silently through levels unseen by foes, or attack enemies head-on as they respond to your aggression. The flexible combat system allows you to creatively combine your abilities, supernatural powers and gadgets as you make your way through the levels and dispatch your targets. Improvise and innovate to define your play style. Action with Meaning The world of Dishonored reacts to how you play. Move like a ghost and resist corruption, or show no mercy and leave a path of destruction in your wake. Decide your approach for each mission, and the outcomes will change as a result. Supernatural Abilities Teleport for stealth approaches, possess any living creature, or stop time itself to orchestrate unearthly executions! Combining your suite of supernatural abilities and weapons opens up even more ways to overcome obstacles and eliminate targets. The game’s upgrade system allows for the mastery of deadly new abilities and devious gadgets. A City Unlike Any Other Enter an original world envisioned by Half-Life 2 art director Viktor Antonov. Arkane and Bethesda bring you a steampunk city where industry and the supernatural collide, creating an atmosphere thick with intrigue. The world is yours to discover."
Grounded,"Action, Adventure","Get Ready to Flex in 'Grounded' with the Upcoming 'Fully Yoked' 1.4 Update Hey, Grounded friends! We're absolutely buzzing to introduce the upcoming ""Fully Yoked"" 1.4 update – the ultimate Grounded experience bulging with new content that's sure to get you pumped! Check out the announcement post for more details!"
